rebalance_date,added_codes,removed_codes,kept_codes,replacement_basis,weights_snapshot
2018-04-30,"비에이치아이, HD현대일렉트릭","현대약품, 셀트리온","기아, LS ELECTRIC, 현대모비스, 삼성물산","트레일링스탑:1, 꺾임신호:1","비에이치아이(083650) 83.7%, 0d; 현대모비스(012330) 11.9%, 546d; LS ELECTRIC(010120) 4.4%, 454d"
2018-05-31,"한화에어로스페이스, 한화엔진","현대모비스, 비에이치아이","기아, LS ELECTRIC, 삼성물산, HD현대일렉트릭","트레일링스탑:1, 꺾임신호:1","한화에어로스페이스(012450) 94.6%, 0d; LS ELECTRIC(010120) 5.4%, 485d"
2018-06-29,"NAVER, 카카오, 휴림로봇","한화에어로스페이스, 삼성물산, HD현대일렉트릭","기아, LS ELECTRIC, 한화엔진","트레일링스탑:2, 꺾임신호:1","카카오(035720) 79.7%, 0d; NAVER(035420) 13.3%, 0d; LS ELECTRIC(010120) 6.9%, 514d"
2018-07-31,"한미반도체, HD현대일렉트릭","한화엔진, 휴림로봇","기아, LS ELECTRIC, NAVER, 카카오","트레일링스탑:1, 꺾임신호:1","카카오(035720) 80.0%, 32d; NAVER(035420) 12.7%, 32d; LS ELECTRIC(010120) 7.3%, 546d"
2018-08-31,삼성바이오로직스,NAVER,"기아, LS ELECTRIC, 카카오, 한미반도체, HD현대일렉트릭",꺾임신호:1,"카카오(035720) 81.2%, 63d; 삼성바이오로직스(207940) 12.2%, 0d; LS ELECTRIC(010120) 6.6%, 577d"
2018-09-28,이수페타시스,한미반도체,"기아, LS ELECTRIC, 카카오, 삼성바이오로직스, HD현대일렉트릭",꺾임신호:1,"카카오(035720) 78.7%, 91d; 삼성바이오로직스(207940) 14.3%, 28d; LS ELECTRIC(010120) 7.0%, 605d"
2018-10-31,"대한항공, 삼성전자우, 동양고속, HL만도","LS ELECTRIC, 카카오, 삼성바이오로직스, HD현대일렉트릭","기아, 이수페타시스",트레일링스탑:4,"삼성전자우(005935) 49.7%, 0d; 대한항공(003490) 25.9%, 0d; 동양고속(084670) 24.4%, 0d"
2018-11-30,삼천당제약,삼성전자우,"기아, 대한항공, 이수페타시스, 동양고속, HL만도",꺾임신호:1,"삼천당제약(000250) 45.0%, 0d; 대한항공(003490) 29.0%, 30d; 동양고속(084670) 26.0%, 30d"
2018-12-28,LIG넥스원,동양고속,"삼천당제약, 기아, 대한항공, 이수페타시스, HL만도",꺾임신호:1,"삼천당제약(000250) 42.9%, 28d; 대한항공(003490) 31.0%, 58d; LIG넥스원(079550) 26.1%, 0d"
2019-01-31,삼성중공업,LIG넥스원,"삼천당제약, 기아, 대한항공, 이수페타시스, HL만도",꺾임신호:1,"삼천당제약(000250) 46.8%, 62d; 대한항공(003490) 31.3%, 92d; 삼성중공업(010140) 21.9%, 0d"
2019-02-28,에이비엘바이오,이수페타시스,"삼천당제약, 기아, 대한항공, 삼성중공업, HL만도",꺾임신호:1,"삼천당제약(000250) 49.4%, 90d; 대한항공(003490) 29.8%, 120d; 삼성중공업(010140) 20.7%, 28d"
2019-03-29,현대건설,HL만도,"삼천당제약, 기아, 대한항공, 삼성중공업, 에이비엘바이오",꺾임신호:1,"삼천당제약(000250) 50.7%, 119d; 대한항공(003490) 28.6%, 149d; 삼성중공업(010140) 20.7%, 57d"
2019-04-30,쎄트렉아이,대한항공,"삼천당제약, 기아, 현대건설, 삼성중공업, 에이비엘바이오",꺾임신호:1,"삼천당제약(000250) 49.6%, 151d; 쎄트렉아이(099320) 29.7%, 0d; 삼성중공업(010140) 20.7%, 89d"
2019-05-31,"HD한국조선해양, 에코프로비엠","삼천당제약, 기아","현대건설, 삼성중공업, 쎄트렉아이, 에이비엘바이오","트레일링스탑:1, 꺾임신호:1","HD한국조선해양(009540) 44.3%, 0d; 쎄트렉아이(099320) 35.3%, 31d; 삼성중공업(010140) 20.5%, 120d"
2019-06-28,"한화에어로스페이스, 다날","HD한국조선해양, 에이비엘바이오","현대건설, 삼성중공업, 쎄트렉아이, 에코프로비엠","트레일링스탑:1, 꺾임신호:1","한화에어로스페이스(012450) 44.3%, 0d; 쎄트렉아이(099320) 34.5%, 59d; 삼성중공업(010140) 21.2%, 148d"
2019-07-31,"두산, 삼성SDI, 한국항공우주","현대건설, 삼성중공업, 다날","한화에어로스페이스, 쎄트렉아이, 에코프로비엠","트레일링스탑:2, 꺾임신호:1","한화에어로스페이스(012450) 47.1%, 33d; 쎄트렉아이(099320) 32.8%, 92d; 삼성SDI(006400) 11.6%, 0d; 한국항공우주(047810) 8.5%, 0d"
2019-08-30,삼성중공업,한국항공우주,"두산, 삼성SDI, 한화에어로스페이스, 쎄트렉아이, 에코프로비엠",교체(+15% 우위):1,"한화에어로스페이스(012450) 49.5%, 63d; 쎄트렉아이(099320) 32.6%, 122d; 삼성SDI(006400) 10.1%, 30d; 삼성중공업(010140) 7.8%, 0d"
2019-09-30,HLB,에코프로비엠,"두산, 삼성SDI, 삼성중공업, 한화에어로스페이스, 쎄트렉아이",꺾임신호:1,"한화에어로스페이스(012450) 53.3%, 94d; 쎄트렉아이(099320) 29.8%, 153d; 삼성SDI(006400) 9.0%, 61d; 삼성중공업(010140) 7.9%, 31d"
2019-10-31,NAVER,두산,"삼성SDI, 삼성중공업, 한화에어로스페이스, HLB, 쎄트렉아이",꺾임신호:1,"한화에어로스페이스(012450) 50.5%, 125d; 쎄트렉아이(099320) 32.1%, 184d; 삼성SDI(006400) 9.7%, 92d; 삼성중공업(010140) 7.7%, 62d"
2019-11-29,"한국전력, 고영","삼성SDI, HLB","삼성중공업, 한화에어로스페이스, NAVER, 쎄트렉아이","트레일링스탑:1, 꺾임신호:1","한화에어로스페이스(012450) 52.3%, 154d; 쎄트렉아이(099320) 30.2%, 213d; 한국전력(015760) 10.0%, 0d; 삼성중공업(010140) 7.5%, 91d"
2019-12-30,올릭스,한국전력,"삼성중공업, 한화에어로스페이스, NAVER, 고영, 쎄트렉아이",꺾임신호:1,"한화에어로스페이스(012450) 48.7%, 185d; 쎄트렉아이(099320) 33.2%, 244d; 올릭스(226950) 10.1%, 0d; 삼성중공업(010140) 8.0%, 122d"
2020-01-31,"LG이노텍, 삼성바이오로직스","한화에어로스페이스, 고영","삼성중공업, NAVER, 쎄트렉아이, 올릭스","트레일링스탑:1, 꺾임신호:1","LG이노텍(011070) 48.5%, 0d; 쎄트렉아이(099320) 34.9%, 276d; 올릭스(226950) 8.8%, 32d; 삼성중공업(010140) 7.9%, 154d"
2020-02-28,"카카오, 리노공업, 우리금융지주","삼성중공업, 삼성바이오로직스, 올릭스","LG이노텍, NAVER, 쎄트렉아이","트레일링스탑:2, 꺾임신호:1","LG이노텍(011070) 42.6%, 28d; 쎄트렉아이(099320) 42.3%, 304d; 카카오(035720) 9.7%, 0d; 우리금융지주(316140) 5.4%, 0d"
2020-03-31,"현대로템, 셀트리온, 펩트론","LG이노텍, 쎄트렉아이, 우리금융지주","NAVER, 카카오, 리노공업",트레일링스탑:3,"셀트리온(068270) 63.5%, 0d; 현대로템(064350) 25.9%, 0d; 카카오(035720) 10.6%, 32d"
