trade_id,buy_date,sell_date,stock_code,stock_name,buy_price,sell_price,return_pct,holding_days,buy_reason,sell_reason,sell_reason_detail,return_pct_fmt
122,2023-03-31,2023-05-31,272210,한화시스템,13860.0,14080.0,1.5873015873015817,61,슈퍼사이클 지속,꺾임신호,"score_gap=1.1375, challenger=377300",1.59%
124,2023-01-31,2023-06-30,010140,삼성중공업,5790.0,6670.0,15.198618307426592,150,슈퍼사이클 지속,교체(+15% 우위),"score_gap=0.8229, challenger=087010",15.20%
123,2023-05-31,2023-06-30,377300,카카오페이,60100.0,47000.0,-21.797004991680534,30,슈퍼사이클 지속,트레일링스탑,peak 대비 -21.80% 하락,-21.80%
125,2023-06-30,2023-07-31,087010,펩트론,13257.0,22435.0,69.23134947574867,31,슈퍼사이클 지속,꺾임신호,"score_gap=1.2275, challenger=277810",69.23%
126,2023-04-28,2023-08-31,267270,HD건설기계,67900.0,71200.0,4.860088365243009,125,슈퍼사이클 지속,교체(+15% 우위),"score_gap=0.9310, challenger=457190",4.86%
128,2023-07-31,2023-09-27,277810,레인보우로보틱스,113900.0,168600.0,48.02458296751537,58,슈퍼사이클 지속,꺾임신호,"score_gap=1.0492, challenger=079550",48.02%
127,2023-08-31,2023-09-27,457190,이수스페셜티케미컬,56200.0,41700.0,-25.800711743772244,27,슈퍼사이클 지속,트레일링스탑,peak 대비 -25.80% 하락,-25.80%
129,2022-10-31,2023-10-31,010120,LS ELECTRIC,55000.0,64000.0,16.36363636363636,365,슈퍼사이클 지속,트레일링스탑,peak 대비 -39.45% 하락,16.36%
130,2023-06-30,2023-10-31,298040,효성중공업,114900.0,170700.0,48.56396866840731,123,슈퍼사이클 지속,꺾임신호,"score_gap=0.8254, challenger=272210",48.56%
131,2022-12-29,2023-11-30,214450,파마리서치,69900.0,108400.0,55.07868383404863,336,슈퍼사이클 지속,트레일링스탑,peak 대비 -25.19% 하락,55.08%
132,2023-09-27,2023-11-30,003230,삼양식품,202000.0,211500.0,4.702970297029707,64,슈퍼사이클 지속,꺾임신호,"score_gap=0.7685, challenger=457190",4.70%
133,2023-11-30,2023-12-28,457190,이수스페셜티케미컬,38560.0,31620.0,-17.99792531120332,28,슈퍼사이클 지속,꺾임신호,"score_gap=0.8918, challenger=348340",-18.00%
134,2023-11-30,2024-01-31,066970,엘앤에프,176300.0,143500.0,-18.6046511627907,62,슈퍼사이클 지속,트레일링스탑,peak 대비 -29.66% 하락,-18.60%
135,2023-12-28,2024-01-31,348340,뉴로메카,37150.0,35700.0,-3.903095558546432,34,슈퍼사이클 지속,꺾임신호,"score_gap=1.3320, challenger=028260",-3.90%
136,2023-10-31,2024-02-29,003490,대한항공,20500.0,23000.0,12.195121951219523,121,리스크완화,꺾임신호,"score_gap=0.9735, challenger=240810",12.20%
137,2023-10-31,2024-03-29,272210,한화시스템,12700.0,17170.0,35.1968503937008,150,슈퍼사이클 지속,꺾임신호,"score_gap=1.2360, challenger=080220",35.20%
139,2024-01-31,2024-04-30,064350,현대로템,28350.0,37300.0,31.56966490299824,90,슈퍼사이클 지속,꺾임신호,"score_gap=1.2401, challenger=204320",31.57%
138,2024-03-29,2024-04-30,080220,제주반도체,29500.0,22450.0,-23.898305084745765,32,슈퍼사이클 지속,트레일링스탑,peak 대비 -23.90% 하락,-23.90%
140,2023-09-27,2024-05-31,079550,LIG넥스원,87900.0,160200.0,82.25255972696246,247,슈퍼사이클 지속,꺾임신호,"score_gap=1.1718, challenger=105560",82.25%
141,2024-02-29,2024-06-28,240810,원익IPS,32800.0,34800.0,6.0975609756097615,120,슈퍼사이클 지속,꺾임신호,"score_gap=1.2433, challenger=087010",6.10%
142,2024-04-30,2024-07-31,298830,슈어소프트테크,6230.0,4735.0,-23.99678972712681,92,슈퍼사이클 지속,트레일링스탑,peak 대비 -27.60% 하락,-24.00%
143,2024-06-28,2024-07-31,087010,펩트론,47826.0,63962.0,33.7389704344917,33,슈퍼사이클 지속,꺾임신호,"score_gap=1.2931, challenger=141080",33.74%
145,2022-03-31,2024-08-30,267260,HD현대일렉트릭,21450.0,305500.0,1324.2424242424242,883,슈퍼사이클 지속,꺾임신호,"score_gap=0.9281, challenger=128940",1324.24%
144,2024-04-30,2024-08-30,204320,HL만도,39400.0,33950.0,-13.83248730964467,122,슈퍼사이클 지속,트레일링스탑,peak 대비 -22.67% 하락,-13.83%
146,2024-05-31,2024-09-30,105560,KB금융,79400.0,80900.0,1.8891687657430767,122,슈퍼사이클 지속,꺾임신호,"score_gap=1.1678, challenger=035420",1.89%
147,2024-01-31,2024-10-31,028260,삼성물산,138000.0,117000.0,-15.217391304347828,274,슈퍼사이클 지속,트레일링스탑,peak 대비 -26.18% 하락,-15.22%
148,2024-08-30,2024-10-31,000270,기아,106100.0,91900.0,-13.383600377002825,62,슈퍼사이클 지속,꺾임신호,"score_gap=1.2005, challenger=099320",-13.38%
149,2024-07-31,2024-11-29,141080,리가켐바이오,84500.0,95500.0,13.017751479289942,121,슈퍼사이클 지속,트레일링스탑,peak 대비 -25.97% 하락,13.02%
151,2024-08-30,2024-11-29,128940,한미약품,315500.0,272500.0,-13.629160063391444,91,슈퍼사이클 지속,꺾임신호,"score_gap=1.1136, challenger=035720",-13.63%
150,2024-10-31,2024-11-29,098460,고영,10980.0,8220.0,-25.136612021857918,29,슈퍼사이클 지속,트레일링스탑,peak 대비 -25.14% 하락,-25.14%
152,2024-11-29,2024-12-30,035720,카카오,40100.0,38200.0,-4.738154613466339,31,슈퍼사이클 지속,꺾임신호,"score_gap=1.3172, challenger=277810",-4.74%
153,2024-10-31,2025-01-31,099320,쎄트렉아이,42200.0,45200.0,7.109004739336489,92,슈퍼사이클 지속,꺾임신호,"score_gap=0.9617, challenger=058610",7.11%
154,2024-07-31,2025-02-28,032830,삼성생명,96500.0,86800.0,-10.05181347150259,212,슈퍼사이클 지속,꺾임신호,"score_gap=0.9466, challenger=068270",-10.05%
157,2024-09-30,2025-03-31,035420,NAVER,169400.0,191000.0,12.750885478158214,182,슈퍼사이클 지속,꺾임신호,"score_gap=1.1510, challenger=000720",12.75%
